#{"t_start": 1723735176.6394598, "env_id": "Cobrinha"}
r,l,t
-640.0,8,1.04807
-552.0,3,1.050077
-588.0,7,1.054069
-657.0,17,1.063069
-523.0,5,1.069089
-895.0,19,1.08007
-505.0,1,1.08107
-1337.0,94,1.130508
-551.0,2,1.134476
-513.0,1,1.134476
-1044.0,28,1.150498
-528.0,1,1.151502
-537.0,2,1.15349
-514.0,1,1.15349
-531.0,1,1.154487
-703.0,14,1.164487
-2572.0,98,1.218309
-522.0,1,1.21928
-597.0,4,1.22131
-603.0,4,1.223297
-559.0,3,1.22728
-512.0,2,1.229311
-597.0,6,1.232272
-627.0,35,1.250279
-509.0,1,1.251266
-622.0,18,1.261825
1864.0,32,1.277108
-550.0,2,1.27911
-592.0,3,1.281959
-537.0,3,1.283947
-789.0,19,1.294745
-539.0,2,1.296761
-521.0,1,1.297753
-506.0,1,1.298744
-506.0,1,1.298744
-529.0,1,1.300315
-1050.0,26,1.316151
-507.0,1,1.317137
-595.0,4,1.319134
-582.0,4,1.322135
1820.0,33,1.34383
-513.0,1,1.344833
-763.0,10,1.35083
-554.0,9,1.35583
-594.0,5,1.35983
-915.0,20,1.37083
-528.0,1,1.37183
-524.0,1,1.372829
-519.0,2,1.373832
-564.0,4,1.37583
-532.0,2,1.376829
-537.0,2,1.378832
-1449.0,78,1.42083
-529.0,5,1.422834
-606.0,9,1.427829
-549.0,2,1.42983
-828.0,15,1.438919
-559.0,3,1.440919
-528.0,1,1.44192
-539.0,2,1.442919
-529.0,1,1.444921
-520.0,1,1.445922
-540.0,5,1.447927
-537.0,2,1.449923
-527.0,1,1.45192
-698.0,34,1.470513
287.0,110,1.524514
-541.0,2,1.526518
-507.0,1,1.528518
-718.0,10,1.534539
-526.0,3,1.536514
-532.0,1,1.536514
-571.0,5,1.539884
-757.0,10,1.546902
-514.0,1,1.547852
-519.0,1,1.548846
-541.0,2,1.549993
-549.0,4,1.553006
-747.0,13,1.561009
579.0,136,1.676337
1293.0,46,1.815426
-936.0,25,1.883415
-1969.0,74,2.098463
-1227.0,50,2.238424
-548.0,2,2.251415
-986.0,66,2.434472
-523.0,1,2.434472
-854.0,39,2.549415
-525.0,5,2.562469
-602.0,4,2.573423
-957.0,42,2.696414
-776.0,25,2.766414
-1044.0,69,2.963024
-976.0,53,3.125153
-588.0,4,3.137113
-606.0,6,3.150112
-915.0,41,3.270127
-558.0,2,3.281112
1547.0,56,3.445113
-707.0,15,3.490162
-940.0,48,3.631162
-1748.0,92,3.900112
-685.0,16,3.957115
-1085.0,93,4.22813
-520.0,2,4.230113
1608.0,41,4.359164
-546.0,5,4.371166
1674.0,71,4.590113
1743.0,43,4.712113
-624.0,6,4.733164
-518.0,2,4.735124
1641.0,33,4.838125
-1261.0,78,5.071376
1157.0,57,5.23537
-529.0,1,5.245416
4177.0,44,5.37142
-1076.0,69,5.570368
-552.0,4,5.582367
-564.0,6,5.595368
-513.0,1,5.604418
-615.0,8,5.630393
-1992.0,100,5.922367
-505.0,3,5.924367
-747.0,31,6.017368
4088.0,50,6.166069
407.0,132,6.546793
717.0,125,6.904509
-996.0,82,7.135913
-600.0,4,7.148972
2633.0,142,7.555622
4154.0,61,7.72769
-641.0,8,7.751381
-1341.0,100,8.041382
-595.0,4,8.05238
-509.0,1,8.053381
-1347.0,100,8.353402
1590.0,56,8.519381
8403.0,122,8.874385
-778.0,22,8.936391
563.0,98,9.228436
7824.0,174,9.755398
-507.0,5,9.77738
-507.0,2,9.778381
-625.0,13,9.813393
-715.0,10,9.84921
-510.0,1,9.850185
10640.0,184,10.393513
1548.0,61,10.570585
8716.0,69,10.783323
1069.0,120,11.131283
-513.0,1,11.132281
-646.0,9,11.15627
1071.0,120,11.501837
10288.0,123,11.852845
12826.0,153,12.292208
2912.0,221,12.922684
4004.0,83,13.163183
8074.0,194,13.737049
7967.0,159,14.283003
10952.0,129,14.664994
10464.0,142,15.083009
7465.0,165,15.556995
10323.0,151,15.999993
8743.0,68,16.196994
-631.0,8,16.221933
4016.0,56,16.388933
8018.0,118,16.737808
-711.0,15,16.77582
12823.0,153,17.224846
-574.0,7,17.237795
-597.0,10,17.270805
-624.0,30,17.350807
8363.0,95,17.62792
-516.0,1,17.62792
-587.0,5,17.648974
13248.0,130,18.020055
-523.0,2,18.032068
13326.0,110,18.349029
6534.0,84,18.595056
-539.0,3,18.606032
13038.0,145,19.035038
5942.0,106,19.35004
6472.0,84,19.600038
-550.0,3,19.603029
8537.0,108,19.928178
15444.0,150,20.383162
10786.0,119,20.735167
1720.0,36,20.841177
10129.0,158,21.325217
-583.0,4,21.33623
-636.0,6,21.357166
-596.0,10,21.381218
-564.0,3,21.395176
11445.0,106,21.740168
1731.0,49,21.916165
1510.0,58,22.106173
15756.0,133,22.571175
-533.0,2,22.58318
-587.0,4,22.597169
-604.0,4,22.610163
11305.0,98,22.951174
-650.0,11,22.994166
13017.0,152,23.471003
-576.0,9,23.495
13665.0,108,23.813006
12422.0,172,24.325001
8239.0,100,24.623997
10609.0,109,24.965037
-568.0,12,25.004032
8628.0,102,25.299991
15515.0,133,25.693991
-591.0,5,25.715004
-651.0,12,25.751072
7864.0,120,26.108059
1928.0,16,26.156061
6660.0,54,26.314714
13733.0,131,26.697739
10808.0,116,27.030726
17968.0,156,27.477726
-512.0,1,27.478726
10715.0,106,27.79274
4192.0,52,27.945535
-602.0,10,27.97002
-508.0,7,27.993016
7779.0,124,28.360047
8284.0,94,30.360307
-595.0,6,30.382311
8270.0,109,30.704326
8121.0,116,31.052356
8243.0,91,31.324311
8679.0,59,31.501346
-518.0,2,31.503321
15175.0,164,31.989526
-544.0,3,32.000486
29938.0,234,32.676485
10948.0,74,32.894612
8044.0,110,33.213634
7738.0,131,33.597824
17827.0,172,34.114744
17574.0,183,34.661741
8570.0,69,34.864765
10996.0,85,35.116777
6422.0,68,35.313751
9094.0,75,35.537742
10917.0,84,35.787792
-722.0,10,35.82175
7574.0,133,36.20975
8280.0,88,36.466751
-551.0,5,36.479744
-542.0,2,36.490792
13270.0,119,36.830743
-546.0,2,36.840743
11391.0,103,37.144755
1974.0,7,37.159799
-576.0,5,37.180795
-516.0,4,37.192797
1702.0,56,37.3548
7723.0,138,37.749481
-546.0,2,37.759481
-613.0,7,37.773487
-542.0,2,37.784496
11255.0,66,37.978944
5740.0,127,38.348949
6077.0,109,38.661952
-528.0,2,38.673744
-633.0,8,38.704749
13007.0,135,39.128017
-532.0,2,39.129966
-615.0,14,39.208965
6698.0,65,39.443848
-570.0,4,39.4549
10576.0,105,39.764862
10371.0,128,40.147047
12915.0,144,40.575065
8424.0,77,40.801051
-554.0,3,40.812062
8706.0,101,41.114052
-597.0,4,41.126049
13019.0,137,41.537097
-543.0,3,41.540049
11141.0,110,41.86405
-527.0,1,41.865048
3801.0,78,42.097061
8837.0,50,42.239062
22366.0,222,42.889046
-515.0,1,42.890046
7994.0,127,43.260098
7865.0,106,43.568058
-624.0,6,43.591045
-575.0,4,43.603047
10922.0,94,43.873048
1727.0,49,44.020049
13636.0,119,44.430992
13337.0,105,44.739364
8405.0,90,45.011387
-552.0,3,45.023436
11189.0,65,45.219387
13345.0,128,45.601272
-556.0,5,45.613278
-725.0,16,45.662269
19844.0,229,46.336272
8082.0,95,46.61327
8138.0,95,46.956261
13438.0,137,47.358269
13454.0,109,47.676816
10869.0,87,47.932824
-547.0,4,47.944819
17958.0,146,48.374781
3519.0,85,48.619627
10141.0,149,49.055564
-699.0,11,49.090607
-654.0,9,49.115576
8112.0,99,49.421606
8287.0,94,49.700558
10630.0,116,50.044566
10862.0,92,50.319608
17554.0,182,50.867556
7773.0,132,51.271577
10836.0,104,51.582608
8046.0,114,51.92257
-543.0,2,51.935571
-536.0,2,51.936611
13086.0,121,52.298556
19615.0,213,52.919758
-622.0,6,52.937744
15810.0,145,53.41952
13499.0,97,53.754654
-530.0,2,53.756653
7811.0,127,54.216654
10359.0,133,54.672655
8354.0,83,54.919074
22654.0,186,55.476081
11092.0,73,55.692071
12913.0,133,56.104227
-510.0,2,56.114239
13310.0,123,56.471226
13581.0,91,56.743204
-635.0,6,56.766257
7954.0,112,57.093254
-547.0,2,57.09426
13094.0,122,57.458588
-649.0,8,57.482626
-605.0,5,57.494582
10412.0,122,57.849933
10418.0,129,58.23508
12368.0,153,58.681099
11270.0,105,58.994353
20159.0,199,59.59935
13340.0,107,59.920001
8383.0,100,61.530252
13200.0,113,61.862256
20798.0,112,62.188252
8202.0,98,62.470081
8331.0,93,62.749121
4084.0,52,62.899084
-607.0,5,62.912093
8653.0,65,63.099076
12739.0,137,63.494252
20392.0,177,64.020262
-533.0,2,64.022209
16679.0,235,64.731208
18109.0,140,65.153221
15285.0,150,65.60021
8368.0,80,65.838262
1520.0,54,66.008209
8688.0,61,66.188238
25345.0,174,66.71322
12766.0,153,67.163227
8794.0,58,67.330913
19919.0,193,67.904983
12654.0,169,68.394301
6602.0,57,68.557302
-523.0,5,68.571024
6530.0,80,68.804537
8710.0,98,69.10486
20903.0,284,69.973822
15511.0,120,70.333875
1526.0,46,70.468833
20532.0,154,70.934823
10915.0,92,71.209836
17239.0,183,71.751874
-584.0,5,71.764822
8529.0,99,72.055872
18382.0,97,72.342834
4113.0,58,72.507834
13192.0,129,72.890835
-614.0,12,72.927834
8192.0,87,73.227827
-592.0,5,73.249821
8461.0,71,73.447832
-1236.0,47,73.586834
10459.0,112,73.916823
11067.0,82,74.170823
8682.0,47,74.320832
20654.0,136,74.733823
11168.0,68,74.945823
10793.0,100,75.246832
13773.0,107,75.567832
17595.0,179,76.104849
