#{"t_start": 1723821577.4061685, "env_id": "Cobrinha"}
r,l,t
-511.0,2,1.25575
-522.0,1,1.256768
-514.0,1,1.257779
-551.0,2,1.25975
-561.0,3,1.26175
-568.0,3,1.263778
-601.0,9,1.26875
-527.0,2,1.269775
-601.0,21,1.281763
-517.0,1,1.281763
-538.0,2,1.283764
-834.0,12,1.289772
-1025.0,27,1.302764
-1451.0,49,1.329748
-521.0,1,1.33075
-640.0,6,1.33475
-607.0,5,1.33775
-519.0,1,1.33775
-512.0,1,1.339756
-699.0,11,1.345748
-521.0,1,1.34675
-571.0,3,1.34775
-595.0,4,1.350749
-516.0,1,1.351749
-688.0,12,1.358749
-520.0,1,1.359749
-538.0,2,1.36075
-537.0,3,1.362751
-1147.0,25,1.376749
-555.0,2,1.377759
-653.0,7,1.381761
-531.0,1,1.382763
-514.0,1,1.38376
-691.0,9,1.38875
-562.0,7,1.392762
-527.0,1,1.393761
-539.0,9,1.399765
-566.0,5,1.40275
-539.0,14,1.410748
-666.0,13,1.418751
-528.0,4,1.421748
-1038.0,30,1.437748
-873.0,40,1.459764
-532.0,3,1.46175
-518.0,1,1.462765
-616.0,5,1.465765
-563.0,8,1.469763
-597.0,4,1.471765
-517.0,1,1.472759
-549.0,2,1.474542
-553.0,2,1.475574
-619.0,5,1.478558
-569.0,3,1.480557
-529.0,4,1.482582
-547.0,2,1.483575
-528.0,2,1.485556
-525.0,1,1.485556
-621.0,6,1.489557
-512.0,2,1.491559
-507.0,1,1.491559
-518.0,1,1.492562
-510.0,2,1.493557
-528.0,1,1.494568
-595.0,4,1.496558
-661.0,24,1.510557
-518.0,1,1.511556
1792.0,10,1.516558
-593.0,8,1.521561
-567.0,3,1.523557
-541.0,3,1.525558
-529.0,3,1.526556
-507.0,2,1.528557
-523.0,1,1.529557
-561.0,2,1.530563
-603.0,5,1.533557
-581.0,3,1.534556
-608.0,6,1.538557
-523.0,1,1.53956
-503.0,1,1.540556
-521.0,1,1.540556
-564.0,3,1.542562
-537.0,2,1.54456
-524.0,2,1.545555
-522.0,4,1.547558
-528.0,1,1.549554
-568.0,4,1.552555
-561.0,7,1.555557
-511.0,2,1.557555
-618.0,7,1.560556
-1230.0,37,1.583554
-523.0,1,1.583554
-508.0,1,1.584557
-519.0,1,1.585557
-532.0,2,1.586558
-524.0,1,1.587557
-514.0,1,1.588554
-551.0,2,1.589578
-560.0,5,1.592557
-925.0,34,1.610561
-526.0,1,1.611557
-532.0,1,1.612562
-755.0,13,1.618559
-541.0,3,1.620557
-543.0,10,1.626558
-522.0,2,1.628557
-522.0,1,1.628557
-2598.0,100,1.682379
-523.0,1,1.683376
-573.0,4,1.68536
-517.0,2,1.687374
-531.0,3,1.689372
-519.0,1,1.689372
-615.0,5,1.692373
-1403.0,46,1.716378
-527.0,1,1.717384
-629.0,15,1.725373
-650.0,9,1.730385
-581.0,5,1.733361
-671.0,6,1.73638
-665.0,24,1.748387
-561.0,3,1.750367
-592.0,4,1.752375
-555.0,2,1.754372
-567.0,3,1.756379
-541.0,2,1.757372
-543.0,5,1.760359
-1095.0,44,1.782368
-574.0,3,1.784382
-530.0,2,1.785371
-963.0,27,1.799382
-616.0,6,1.803359
-693.0,10,1.808372
-814.0,26,1.822373
-534.0,2,1.823376
-762.0,33,1.926412
-792.0,32,2.031358
-545.0,2,2.043359
-925.0,30,2.136359
-1031.0,27,2.23036
-585.0,3,2.243359
-1047.0,21,2.311358
-590.0,4,2.32336
-661.0,23,2.400377
-956.0,18,2.45736
-1030.0,48,2.614359
-549.0,4,2.628363
-635.0,7,2.656375
-579.0,7,2.682373
-842.0,37,2.807371
-793.0,10,2.83438
-620.0,8,2.86036
-627.0,9,2.897407
-597.0,5,2.912416
-603.0,4,2.925379
-596.0,5,2.938414
-627.0,7,2.965374
-1072.0,39,3.09736
-1263.0,59,3.28395
1720.0,26,3.374949
-913.0,43,3.520948
-548.0,2,3.52295
-1305.0,56,3.706949
-649.0,7,3.730948
-655.0,7,3.757949
-778.0,27,3.840949
-841.0,26,3.934949
-568.0,3,3.947949
1569.0,50,4.144951
-1110.0,36,4.265949
-822.0,43,4.413968
1959.0,9,4.440949
