#{"t_start": 1723599177.9699652, "env_id": "Cobrinha"}
r,l,t
-829.0,20,1.319136
-539.0,2,1.321202
-674.0,6,1.324253
-534.0,6,1.328228
-512.0,1,1.329212
-530.0,1,1.330275
-523.0,1,1.330882
-524.0,2,1.332795
-521.0,1,1.333795
-514.0,2,1.334797
-510.0,3,1.336891
-667.0,9,1.341719
-534.0,1,1.34273
-516.0,3,1.344793
-1096.0,28,1.361923
-561.0,7,1.365749
-520.0,1,1.367019
-515.0,1,1.367773
-801.0,18,1.377541
-513.0,3,1.378935
-523.0,1,1.380151
-539.0,2,1.381259
-524.0,1,1.38167
-595.0,13,1.38867
-528.0,2,1.390766
-525.0,1,1.391734
-528.0,1,1.392735
-595.0,4,1.395421
-510.0,3,1.396745
-525.0,1,1.398007
-727.0,11,1.403953
-507.0,1,1.403953
-586.0,3,1.406064
-587.0,9,1.410742
-511.0,1,1.411822
-521.0,1,1.413187
-572.0,3,1.414889
-574.0,3,1.416733
-514.0,1,1.417682
-526.0,1,1.417732
-508.0,2,1.419752
-520.0,3,1.422033
-533.0,1,1.423072
-936.0,37,1.443485
-527.0,2,1.444908
1360.0,131,1.516395
-539.0,2,1.518095
-530.0,1,1.518095
-567.0,4,1.520862
-522.0,1,1.521853
-521.0,2,1.522854
-545.0,2,1.524855
-897.0,16,1.533118
-517.0,1,1.533851
-535.0,2,1.535851
-562.0,2,1.536853
-506.0,1,1.537882
-544.0,2,1.539244
-509.0,1,1.539849
-512.0,1,1.540823
-565.0,5,1.543798
-511.0,2,1.545114
-526.0,1,1.545798
-1736.0,45,1.567758
-614.0,19,1.578146
-517.0,1,1.578443
-519.0,1,1.579147
-511.0,1,1.580149
-581.0,4,1.582386
-505.0,1,1.583387
-557.0,3,1.584386
-525.0,1,1.585704
-609.0,7,1.589385
-2073.0,100,1.643705
-551.0,3,1.645716
-511.0,1,1.646779
-573.0,3,1.648687
-511.0,1,1.649403
-538.0,3,1.650707
-553.0,3,1.652687
-545.0,2,1.654686
-521.0,1,1.655704
-614.0,7,1.658703
-621.0,9,1.663997
-1084.0,65,1.697933
-736.0,10,1.703905
-584.0,6,1.706867
-508.0,1,1.70826
-603.0,13,1.715013
-1863.0,73,1.752074
-518.0,1,1.753337
-558.0,2,1.754875
-904.0,16,1.762965
-514.0,1,1.763744
-610.0,5,1.766877
-531.0,4,1.768748
-555.0,3,1.770778
-529.0,1,1.772107
-717.0,7,1.775809
-504.0,1,1.776802
-521.0,1,1.776802
-528.0,1,1.778089
-574.0,4,1.780687
-805.0,14,1.787889
-553.0,3,1.789773
-522.0,1,1.791025
-590.0,5,1.794034
-525.0,1,1.794034
-565.0,3,1.796921
-517.0,1,1.797035
-510.0,1,1.798409
-514.0,1,1.79904
-511.0,1,1.799892
-515.0,1,1.800067
-536.0,2,1.801528
-526.0,1,1.802478
-694.0,8,1.807496
-542.0,2,1.808861
-783.0,19,1.817631
-701.0,8,1.822706
-557.0,2,1.824943
-526.0,1,1.825686
-571.0,3,1.826705
-530.0,1,1.828065
-756.0,15,1.836668
-522.0,1,1.836726
-505.0,1,1.838181
-513.0,1,1.838639
-517.0,1,1.839761
-517.0,1,1.839761
-526.0,1,1.840844
-516.0,1,1.841788
-523.0,2,1.842788
-548.0,3,1.844789
-603.0,6,1.848364
-1497.0,66,1.910895
-513.0,1,1.912897
-530.0,1,1.913895
-507.0,1,1.925043
-521.0,1,1.92634
-515.0,1,1.927039
-513.0,1,1.928001
-520.0,1,1.939663
-565.0,3,1.942138
-575.0,3,1.954683
-529.0,1,1.955682
-518.0,1,1.966921
-515.0,1,1.96892
-525.0,1,1.969924
-528.0,1,1.971423
-521.0,1,1.981594
-528.0,1,1.982555
-514.0,1,1.983952
-519.0,1,1.984584
-518.0,1,1.995589
-520.0,1,1.996993
-522.0,1,1.997588
-521.0,1,1.998584
-514.0,1,2.010555
-523.0,1,2.011495
-525.0,1,2.012557
-519.0,1,2.014006
-553.0,2,2.025556
-524.0,1,2.027744
-513.0,1,2.028833
-511.0,1,2.043209
-545.0,2,2.045665
-530.0,1,2.046666
-533.0,1,2.059744
-523.0,1,2.061641
-525.0,1,2.062809
-508.0,1,2.064134
-513.0,1,2.076296
-525.0,1,2.07726
-519.0,1,2.078271
-521.0,2,2.090977
-516.0,1,2.091708
-516.0,1,2.092725
-572.0,3,2.105758
-529.0,1,2.10718
-512.0,1,2.10776
-520.0,1,2.119368
-529.0,1,2.120344
-513.0,1,2.121602
-523.0,2,2.132694
-523.0,1,2.13361
-536.0,3,2.145642
-524.0,1,2.147045
-531.0,2,2.148774
-567.0,3,2.161026
-517.0,1,2.162017
-525.0,1,2.173941
-516.0,1,2.174608
-504.0,1,2.175962
-527.0,1,2.176541
-516.0,1,2.18848
-518.0,1,2.189062
-535.0,2,2.191064
-522.0,1,2.202063
-525.0,1,2.203077
-512.0,1,2.205133
-520.0,1,2.206278
-518.0,1,2.216875
-516.0,1,2.217872
-520.0,1,2.21987
-519.0,1,2.21987
-523.0,1,2.230195
-524.0,1,2.232267
-518.0,1,2.233777
-532.0,1,2.234199
1821.0,12,2.274694
-624.0,5,2.297822
-1154.0,36,2.419682
-586.0,11,2.448605
-523.0,1,2.459992
-944.0,51,2.619848
-1198.0,41,2.761596
-518.0,1,2.762168
-1151.0,69,2.986658
-525.0,1,2.98772
-854.0,44,3.133621
-542.0,2,3.145348
-1181.0,60,3.342022
-1230.0,60,3.545645
-526.0,1,3.545881
1470.0,53,3.728132
-1041.0,73,3.989584
-1483.0,47,4.139918
-549.0,2,4.150899
-871.0,38,4.273805
-575.0,16,4.326911
-1602.0,100,4.672493
-514.0,1,4.68378
-541.0,3,4.686786
-549.0,2,4.698413
-1650.0,100,5.031002
-511.0,1,5.03246
-536.0,4,5.046175
-1384.0,53,5.221709
-749.0,16,5.27715
-823.0,11,5.317022
-1697.0,100,5.655011
-1679.0,100,5.992886
752.0,172,6.577884
-1588.0,100,6.910873
-532.0,3,6.923853
-521.0,2,6.925864
-511.0,1,6.936952
-521.0,1,6.937843
-572.0,34,7.045674
3231.0,163,7.602611
22807.0,359,8.823549
4111.0,82,9.100909
-589.0,7,9.127288
11312.0,141,9.600692
11121.0,127,10.031955
129595.0,1278,14.497928
13354.0,140,14.974886
-665.0,10,15.00493
57634.0,598,68.316809
237647.0,2058,75.649124
-512.0,1,75.649124
6394.0,91,75.969194
68383.0,606,78.087065
20634.0,205,78.801844
123141.0,1008,82.339767
66891.0,678,86.755995
41607.0,405,88.530731
328975.0,2578,98.045712
57224.0,382,99.374771
97584.0,626,101.579363
16277.0,131,102.039949
148629.0,1162,182.800772
15448.0,178,183.42536
82538.0,660,186.043069
160845.0,1224,190.38282
53312.0,490,192.09088
84879.0,682,194.52855
13297.0,153,195.060655
27960.0,237,195.877763
96597.0,729,198.459665
607921.0,4515,217.60499
48892.0,398,218.994185
203286.0,1595,287.148426
599026.0,4360,379.959399
484815.0,3562,395.022905
18793.0,124,395.610721
415670.0,2846,410.816708
27084.0,258,411.702231
231997.0,1769,417.998305
107727.0,883,459.428804
49002.0,391,460.799671
489839.0,3792,475.361552
113680.0,848,553.604832
